customer_id,country,device,customer_type,first_purchase,repeat_purchase
C5000,FR,mobile,B2C,2026-02-21,0
C5001,FR,desktop,B2C,2026-02-02,1
C5002,FR,mobile,B2B,2025-11-21,0
C5003,BE,mobile,B2C,2025-10-10,0
C5004,ES,tablet,B2B,2026-04-18,0
C5005,DE,mobile,B2C,2026-04-10,0
C5006,FR,tablet,B2C,2025-09-16,0
C5007,BE,desktop,B2B,2025-08-25,0
C5008,FR,mobile,B2C,2025-09-26,0
C5009,BE,desktop,B2C,2025-10-18,0
C5010,DE,desktop,B2C,2026-06-18,1
C5011,FR,mobile,B2C,2025-10-21,0
C5012,DE,mobile,B2C,2026-07-15,1
C5013,FR,tablet,B2C,2026-03-05,0
C5014,IT,mobile,B2B,2026-06-02,0
C5015,DE,desktop,B2C,2025-09-02,0
C5016,FR,desktop,B2C,2026-02-14,0
C5017,NL,mobile,B2C,2026-02-12,0
C5018,FR,desktop,B2C,2026-06-02,0
C5019,DE,desktop,B2C,2026-03-28,0
C5020,NL,desktop,B2B,2026-04-28,0
C5021,ES,desktop,B2C,2025-12-07,0
C5022,FR,desktop,B2C,2026-05-11,0
C5023,NL,desktop,B2C,2025-08-06,0
C5024,ES,desktop,B2C,2026-07-15,1
C5025,FR,desktop,B2C,2025-09-28,0
C5026,FR,tablet,B2C,2026-07-16,0
C5027,IT,desktop,B2B,2026-05-02,1
C5028,ES,desktop,B2C,2025-12-15,0
C5029,DE,mobile,B2C,2026-06-25,1
C5030,NL,desktop,B2C,2026-01-22,1
C5031,IT,tablet,B2C,2025-09-27,0
C5032,FR,mobile,B2C,2025-12-29,0
C5033,FR,desktop,B2C,2026-03-11,0
C5034,FR,desktop,B2C,2025-10-20,0
C5035,IT,mobile,B2C,2026-03-21,0
C5036,FR,tablet,B2C,2025-08-02,1
C5037,DE,desktop,B2C,2025-12-13,0
C5038,IT,mobile,B2B,2026-04-14,0
C5039,BE,desktop,B2C,2025-10-31,1
C5040,FR,tablet,B2C,2026-04-17,1
C5041,BE,desktop,B2B,2025-09-24,0
C5042,FR,tablet,B2C,2026-06-17,0
C5043,BE,mobile,B2C,2025-12-31,0
C5044,FR,mobile,B2C,2026-06-24,0
C5045,FR,mobile,B2C,2026-04-17,0
C5046,IT,desktop,B2C,2026-06-08,0
C5047,FR,desktop,B2B,2025-11-10,1
C5048,FR,desktop,B2C,2025-10-18,0
C5049,IT,desktop,B2C,2026-02-08,0
C5050,IT,mobile,B2C,2025-10-22,0
C5051,ES,desktop,B2B,2026-05-04,0
C5052,ES,desktop,B2C,2026-04-29,1
C5053,DE,tablet,B2C,2025-08-01,1
C5054,FR,mobile,B2C,2026-06-03,1
C5055,FR,tablet,B2C,2026-01-13,0
C5056,FR,tablet,B2B,2026-04-08,0
C5057,NL,desktop,B2B,2025-08-10,0
C5058,ES,desktop,B2C,2025-09-27,0
C5059,DE,mobile,B2B,2026-02-02,0
C5060,DE,mobile,B2C,2026-01-05,1
C5061,NL,desktop,B2B,2025-12-01,0
C5062,FR,mobile,B2C,2025-08-30,0
C5063,ES,desktop,B2C,2025-12-02,0
C5064,DE,desktop,B2C,2026-05-18,0
C5065,ES,mobile,B2C,2025-09-10,0
C5066,FR,mobile,B2C,2025-09-13,1
C5067,BE,mobile,B2C,2026-04-06,1
C5068,NL,desktop,B2C,2025-09-05,1
C5069,DE,mobile,B2C,2026-04-30,0
C5070,ES,desktop,B2C,2025-10-04,0
C5071,NL,desktop,B2C,2025-10-05,0
C5072,IT,mobile,B2B,2026-07-04,0
C5073,FR,tablet,B2C,2026-04-01,1
C5074,DE,mobile,B2C,2026-05-09,0
C5075,ES,mobile,B2C,2025-10-24,0
C5076,DE,mobile,B2B,2025-12-14,0
C5077,IT,mobile,B2C,2026-04-28,0
C5078,NL,desktop,B2C,2026-06-07,1
C5079,NL,desktop,B2B,2026-03-05,0
C5080,DE,desktop,B2B,2025-11-17,0
C5081,FR,desktop,B2C,2026-05-04,0
C5082,PT,mobile,B2C,2026-07-20,0
C5083,BE,mobile,B2C,2025-11-11,1
C5084,FR,desktop,B2B,2026-01-07,1
C5085,NL,desktop,B2C,2026-02-21,1
C5086,BE,mobile,B2C,2026-07-10,1
C5087,DE,desktop,B2B,2026-06-29,0
C5088,ES,mobile,B2C,2026-02-08,1
C5089,FR,mobile,B2C,2026-03-13,0
C5090,FR,mobile,B2C,2026-04-22,0
C5091,FR,mobile,B2C,2026-03-20,1
C5092,BE,mobile,B2C,2025-10-01,0
C5093,FR,desktop,B2C,2025-12-05,1
C5094,FR,mobile,B2C,2025-11-24,0
C5095,FR,mobile,B2C,2025-09-02,0
C5096,DE,desktop,B2B,2026-01-21,0
C5097,NL,mobile,B2C,2025-08-11,1
C5098,FR,mobile,B2B,2026-05-29,0
C5099,FR,mobile,B2C,2026-05-11,0
C5100,IT,mobile,B2B,2025-11-26,0
C5101,DE,mobile,B2C,2026-05-29,0
C5102,FR,mobile,B2C,2025-11-21,0
C5103,DE,mobile,B2C,2025-08-04,1
C5104,FR,mobile,B2B,2025-09-06,0
C5105,FR,mobile,B2C,2026-07-29,1
C5106,DE,mobile,B2C,2026-06-20,0
C5107,DE,mobile,B2C,2025-08-31,0
C5108,NL,desktop,B2C,2025-11-26,1
C5109,FR,mobile,B2C,2025-09-04,0
C5110,ES,mobile,B2C,2025-08-17,0
C5111,ES,desktop,B2C,2026-01-17,0
C5112,FR,mobile,B2C,2025-09-06,1
C5113,ES,desktop,B2C,2026-04-21,1
C5114,FR,desktop,B2C,2025-11-30,0
C5115,PT,mobile,B2C,2025-12-21,0
C5116,FR,desktop,B2C,2026-07-09,0
C5117,DE,mobile,B2C,2026-04-06,1
C5118,FR,mobile,B2C,2025-11-18,0
C5119,PT,mobile,B2C,2026-05-04,0
C5120,DE,desktop,B2C,2025-10-07,0
C5121,ES,desktop,B2C,2026-05-20,0
C5122,FR,mobile,B2C,2026-05-23,0
C5123,IT,tablet,B2C,2026-03-31,1
C5124,FR,mobile,B2C,2025-12-03,0
C5125,NL,desktop,B2C,2026-03-31,0
C5126,FR,mobile,B2C,2026-02-25,0
C5127,FR,mobile,B2C,2025-11-06,1
C5128,FR,mobile,B2C,2025-09-18,0
C5129,DE,desktop,B2C,2025-09-19,1
C5130,DE,mobile,B2C,2026-07-04,0
C5131,FR,mobile,B2B,2026-03-09,0
C5132,IT,tablet,B2C,2026-01-29,0
C5133,DE,desktop,B2C,2026-03-05,0
C5134,DE,mobile,B2C,2026-02-27,0
C5135,DE,tablet,B2C,2026-03-28,1
C5136,DE,desktop,B2C,2025-08-28,0
C5137,DE,tablet,B2C,2026-07-11,0
C5138,FR,mobile,B2C,2026-07-01,0
C5139,FR,desktop,B2C,2026-06-27,1
C5140,BE,desktop,B2C,2025-09-20,1
C5141,NL,mobile,B2C,2025-09-01,0
C5142,FR,desktop,B2C,2026-02-23,1
C5143,FR,mobile,B2C,2026-01-21,0
C5144,ES,desktop,B2B,2025-09-25,0
C5145,DE,mobile,B2C,2025-12-06,1
C5146,FR,desktop,B2C,2025-11-07,1
C5147,FR,mobile,B2C,2025-11-06,0
C5148,IT,tablet,B2C,2026-05-02,0
C5149,ES,tablet,B2B,2026-03-18,0
C5150,FR,mobile,B2C,2025-10-11,1
C5151,FR,desktop,B2B,2026-03-05,0
C5152,FR,mobile,B2C,2025-11-02,0
C5153,ES,desktop,B2B,2025-12-21,0
C5154,FR,desktop,B2C,2026-03-25,0
