date,sessions,users,product_views,add_to_cart,checkout,purchases,revenue
2025-08-01,493,425,942,48,29,21,3243.26
2025-08-02,660,600,1339,69,39,24,3460.21
2025-08-03,631,534,970,59,38,25,3571.35
2025-08-04,614,545,930,70,38,28,3898.87
2025-08-05,605,505,1169,55,34,21,2764.01
2025-08-06,712,646,1285,73,46,33,4335.29
2025-08-07,722,651,1330,75,48,33,3979.26
2025-08-08,714,606,1476,66,42,28,3871.45
2025-08-09,515,462,995,52,29,20,2938.24
2025-08-10,690,641,1040,73,45,30,3733.95
2025-08-11,553,475,1112,58,36,27,3570.61
2025-08-12,607,518,1189,55,32,20,2448.41
2025-08-13,652,572,997,69,40,28,3764.15
2025-08-14,757,643,1407,67,40,26,3949.88
2025-08-15,707,599,1218,68,45,29,3572.68
2025-08-16,516,444,811,45,28,17,2058.4
2025-08-17,480,404,805,50,29,19,2360.93
2025-08-18,802,712,1380,83,54,38,4953.34
2025-08-19,616,521,1002,66,39,26,3660.59
2025-08-20,585,520,905,64,36,25,3676.09
2025-08-21,731,607,1280,75,45,33,4316.67
2025-08-22,816,701,1375,77,47,33,4725.27
2025-08-23,540,492,817,57,32,20,2846.94
2025-08-24,536,462,825,47,25,18,2175.51
2025-08-25,641,554,1370,55,33,23,3510.02
2025-08-26,560,499,1155,49,29,19,2869.38
2025-08-27,656,566,1009,59,39,26,3695.14
2025-08-28,654,590,1148,58,33,21,2987.51
2025-08-29,733,667,1522,79,46,33,4125.35
2025-08-30,522,467,1017,44,28,20,2587.19
2025-08-31,495,437,1063,55,35,23,3494.01
2025-09-01,863,724,1809,81,45,32,4099.03
2025-09-02,595,497,966,50,30,18,2590.07
2025-09-03,573,489,1237,63,37,26,3850.95
2025-09-04,660,553,1288,68,43,28,4202.49
2025-09-05,669,619,1105,58,33,24,3448.38
2025-09-06,435,386,746,43,28,21,3205.38
2025-09-07,615,567,1095,60,38,28,3499.15
2025-09-08,590,525,1011,55,30,20,3003.75
2025-09-09,617,526,1225,64,42,26,4009.61
2025-09-10,643,537,1079,64,36,23,3132.39
2025-09-11,659,549,1044,64,35,23,3141.58
2025-09-12,733,647,1339,71,46,34,5095.36
2025-09-13,496,445,791,46,25,18,2576.3
2025-09-14,453,414,761,38,22,15,2051.32
2025-09-15,731,669,1150,74,45,29,4314.56
2025-09-16,709,650,1422,65,41,27,3468.86
2025-09-17,714,597,1442,75,43,31,4715.86
2025-09-18,622,562,1052,64,35,23,3354.97
2025-09-19,612,549,1267,68,44,31,3754.42
2025-09-20,467,425,805,47,27,19,2869.52
2025-09-21,503,437,1058,46,28,20,2628.12
2025-09-22,536,467,827,49,29,19,2930.04
2025-09-23,652,593,1314,65,42,28,4054.72
2025-09-24,710,654,1421,66,39,24,3519.14
2025-09-25,675,563,1421,59,33,22,3208.17
2025-09-26,625,548,1030,55,36,24,2892.08
2025-09-27,432,393,944,44,27,20,3066.76
2025-09-28,478,425,951,43,26,19,2715.39
2025-09-29,761,662,1494,67,40,29,3703.82
2025-09-30,585,542,1178,62,40,25,3617.71
2025-10-01,574,505,1194,57,35,24,3281.65
2025-10-02,687,613,1247,69,44,32,4620.15
2025-10-03,740,682,1534,75,47,35,4958.48
2025-10-04,531,470,886,51,34,24,3354.09
2025-10-05,555,512,1060,55,35,25,3169.02
2025-10-06,468,406,871,45,25,16,1960.48
2025-10-07,460,408,964,49,29,18,2287.35
2025-10-08,528,466,877,58,34,22,3265.49
2025-10-09,657,567,1036,67,41,29,3723.82
2025-10-10,505,423,1067,53,31,21,2667.93
2025-10-11,473,434,747,40,24,16,2244.22
2025-10-12,492,432,812,54,30,20,2883.99
2025-10-13,615,526,1191,67,38,28,3902.49
2025-10-14,596,513,1196,64,42,31,4578.54
2025-10-15,506,450,879,51,28,20,2712.17
2025-10-16,750,657,1450,74,47,30,3718.49
2025-10-17,503,447,925,43,25,15,2078.96
2025-10-18,603,549,1030,68,42,29,4170.88
2025-10-19,415,372,770,40,22,13,1722.87
2025-10-20,564,475,1137,62,41,28,4046.85
2025-10-21,524,479,939,49,32,22,3022.89
2025-10-22,679,585,1109,69,43,27,4044.58
2025-10-23,737,617,1289,77,45,33,4814.55
2025-10-24,626,528,1064,62,40,29,4194.9
2025-10-25,526,485,1061,49,28,20,2535.01
2025-10-26,516,470,810,56,36,24,2928.14
2025-10-27,585,495,1167,62,41,28,3481.63
2025-10-28,687,582,1188,68,37,24,3222.63
2025-10-29,609,522,971,65,42,27,3971.83
2025-10-30,672,615,1360,73,41,25,3781.73
2025-10-31,467,405,794,49,32,23,3014.38
2025-11-01,527,440,910,55,32,20,2596.95
2025-11-02,488,427,894,52,33,22,3291.16
2025-11-03,641,585,1131,73,44,32,4290.58
2025-11-04,627,547,1108,66,40,30,3863.43
2025-11-05,652,581,1370,62,39,26,3681.67
2025-11-06,603,553,1002,58,39,28,3913.35
2025-11-07,524,462,1097,55,32,20,2585.65
2025-11-08,537,454,841,52,29,18,2504.81
2025-11-09,461,406,724,49,32,23,3188.93
2025-11-10,622,569,1235,53,31,22,2906.31
2025-11-11,643,568,1050,68,39,25,3739.35
2025-11-12,718,630,1413,69,40,28,3511.76
2025-11-13,583,524,1259,66,40,26,3522.97
2025-11-14,643,588,1057,73,43,32,4779.24
2025-11-15,500,415,883,47,26,17,2279.8
2025-11-16,606,541,1172,53,35,22,2982.86
2025-11-17,810,680,1458,84,48,33,5026.83
2025-11-18,693,644,1055,63,37,25,3211.98
2025-11-19,614,524,1191,63,41,29,4030.71
2025-11-20,555,496,938,57,34,21,2698.27
2025-11-21,741,632,1261,71,45,28,4294.87
2025-11-22,538,493,1024,56,30,20,2956.96
2025-11-23,540,479,906,61,34,24,3306.68
2025-11-24,677,612,1162,67,44,30,3977.71
2025-11-25,869,759,1874,81,49,35,5044.17
2025-11-26,742,679,1630,72,40,24,3490.58
2025-11-27,691,584,1066,75,44,29,3990.29
2025-11-28,759,693,1484,78,44,30,4351.15
2025-11-29,644,534,1171,61,33,22,2836.16
2025-11-30,537,464,1070,54,30,22,3129.65
2025-12-01,719,600,1088,65,39,29,3943.92
2025-12-02,739,634,1399,65,40,27,3988.43
